# StartTime = 08/11/2026 01:11:43.6990 PM
Time (sec), Short term fuel % trim - Bank 1 (%), Long term fuel % trim - Bank 1 (%), Engine RPM (RPM), Ignition timing advance for #1 cylinder (deg), O2 sensor lambda wide range (current probe)  (Bank 1  Sensor 1), Absolute load value (%), Knocking Retard (deg)
328.160,-2.34375,14.0625,713.25,11.5,0.999912,16.078432,0
328.354,-2.34375,14.0625,712.25,11,1.0001255,16.078432,0
328.535,-2.34375,14.0625,710.75,11.5,0.9997595,16.078432,0
328.744,-2.34375,14.0625,713.75,10.5,0.99857,16.078432,0
328.945,-2.34375,14.0625,713.75,10.5,0.99857,16.078432,0
329.134,-3.125,14.0625,705.5,12,0.998265,16.078432,0
329.298,-2.34375,14.0625,701,13,0.9973195,15.686275,0
329.459,-2.34375,14.0625,711.75,11,0.9979905,16.078432,0
329.663,-2.34375,14.0625,714.5,10.5,0.9998205,16.078432,0
329.811,-2.34375,14.0625,714,10.5,1.000766,16.078432,0
329.911,-2.34375,14.0625,712.25,11.5,0.999119,15.686275,0
330.083,-2.34375,14.0625,714.75,11.5,1.001315,15.686275,0
330.236,-2.34375,14.0625,711.75,11.5,0.9992715,15.686275,0
330.430,-3.125,14.0625,711,11.5,0.9970145,15.686275,0
330.537,-3.125,14.0625,711,11.5,0.9970145,15.686275,0
330.697,-3.125,14.0625,710.75,12,0.996008,15.686275,0
330.814,-3.125,14.0625,707.75,12.5,0.996069,15.686275,0
330.998,-3.125,14.0625,701.5,13.5,0.995703,15.686275,0
331.124,-2.34375,14.0625,704.5,13.5,0.996862,15.686275,0
331.277,-2.34375,14.0625,711.25,12,0.997228,15.686275,0
331.468,-2.34375,14.0625,702,14,0.9979905,15.686275,0
331.678,-2.34375,14.0625,709.5,14,0.9992715,15.686275,0
331.838,-3.125,14.0625,714.5,12,0.999119,15.686275,0
332.004,-2.34375,14.0625,709.75,11,1.001376,15.686275,0
332.194,-2.34375,14.0625,709.75,11,1.001376,15.686275,0
332.315,-2.34375,14.0625,712,12,0.9997595,15.686275,0
332.496,-3.125,14.0625,708.25,10.5,0.998326,16.078432,0
332.630,-3.125,14.0625,706,10.5,0.9990275,15.686275,0
332.764,-3.125,14.0625,711.5,12,0.995337,15.686275,0
332.863,-3.125,14.0625,706.25,12,0.9951845,15.686275,0
332.989,-3.125,14.0625,701.5,12.5,0.9967095,15.686275,0
333.124,-3.125,14.0625,703.75,12.5,0.997045,15.686275,0
333.243,-3.125,14.0625,706,12.5,0.99735,15.686275,0
333.519,-3.125,14.0625,706.5,13,0.997228,15.686275,0
333.686,-3.125,14.0625,702.75,13.5,0.9992715,15.686275,0
333.827,-2.34375,14.0625,702.75,13,1.003267,15.686275,0
333.963,-2.34375,14.0625,710.25,13,0.9981125,15.686275,0
334.086,-3.125,14.0625,713,12,0.9974415,15.686275,0
334.253,-3.125,14.0625,716.75,11.5,0.9981735,15.686275,0
334.384,-3.125,14.0625,716.75,10.5,1.000461,16.078432,0
334.577,-3.125,14.0625,714.5,10.5,0.9992105,16.078432,0
334.789,-3.125,14.0625,706.25,12,1.0030535,15.686275,0
334.966,-3.125,14.0625,710.25,12,0.9975635,15.686275,0
335.160,-3.125,14.0625,705.25,11,0.9951845,15.686275,0
335.284,-3.125,14.0625,709,13,0.996618,15.686275,0
335.449,-3.125,14.0625,706.5,12.5,0.9973805,15.686275,0
335.565,-3.125,14.0625,705,12.5,0.996496,15.686275,0
335.665,-3.125,14.0625,709,12.5,0.999241,15.686275,0
335.819,-3.125,14.0625,710.75,12.5,0.9986615,15.686275,0
335.950,-3.125,14.0625,705.25,12,0.999058,15.686275,0
336.134,-3.125,14.0625,705.25,13,0.997289,15.686275,0
336.248,-3.125,14.0625,707.25,13,0.998082,15.686275,0
336.391,-3.125,14.0625,707,13,0.9992105,15.686275,0
336.525,-3.125,14.0625,711.5,12,0.998387,16.078432,0
336.733,-3.125,14.0625,711.5,12,0.998387,16.078432,0
336.874,-3.125,14.0625,713.75,11,0.996374,16.078432,0
337.023,-3.125,14.0625,716.25,11,0.997472,16.078432,0
337.214,-3.125,14.0625,717.5,10.5,0.997655,16.078432,0
337.394,-3.125,14.0625,716.5,10.5,0.9985395,16.078432,0
337.542,-3.125,14.0625,709.5,10,1.0007355,16.078432,0
337.664,-3.125,14.0625,710.5,12,1.0027485,16.078432,0
337.765,-2.34375,14.0625,706.25,11,0.9984175,16.078432,0
337.902,-3.125,14.0625,708.25,12,1.0004305,16.078432,0
338.034,-3.125,14.0625,702.5,12.5,0.99857,16.078432,0
338.180,-3.125,14.0625,708.5,12.5,1.000095,16.078432,0
338.306,-2.34375,14.0625,706.5,12,1.0000645,16.078432,0
338.448,-2.34375,14.0625,706.75,12,1.0026875,16.078432,0
338.540,-3.125,14.0625,708.75,11.5,1.0012234,16.078432,0
338.721,-3.125,14.0625,706.75,12.5,1.005768,16.078432,0
338.837,-2.34375,14.0625,711,12.5,1.0020165,16.078432,0
338.952,-2.34375,14.0625,715.5,11,1.001681,16.078432,0
339.156,-2.34375,14.0625,711,11.5,1.0041515,16.078432,0
339.310,-2.34375,14.0625,719.75,11,1.001925,16.078432,0
339.499,-3.125,14.0625,720,10,0.9998205,16.078432,0
340.008,-3.125,14.0625,720,10,0.9998205,16.078432,0
340.124,-3.125,14.0625,723.25,9.5,0.9967095,16.078432,0
340.348,-3.125,14.0625,710.5,11,0.9967095,16.078432,0
340.553,-2.34375,14.0625,706.25,12.5,0.996191,15.686275,0
340.684,-3.125,14.0625,712.5,12.5,0.9954285,15.686275,0
340.836,-3.125,14.0625,708,12,0.99369,15.686275,0
340.966,-3.125,14.0625,706.25,12.5,0.995703,15.686275,0
341.112,-3.125,14.0625,709,13,0.996496,15.686275,0
341.262,-3.125,14.0625,705.75,11.5,0.996496,16.078432,0
341.433,-2.34375,14.0625,707,11.5,0.9980515,16.078432,0
341.570,-2.34375,14.0625,707,11.5,0.9980515,16.078432,0
341.724,-3.125,14.0625,708.75,12,0.998753,16.078432,0
341.823,-3.125,14.0625,710.5,11,1.001315,16.078432,0
341.954,-3.125,14.0625,710.25,10.5,1.0003695,16.078432,0
342.135,-3.125,14.0625,707.75,11,0.999363,16.078432,0
342.267,-2.34375,14.0625,712.25,11,1.0051275,16.078432,0
342.452,-2.34375,14.0625,717.5,10,1.004121,16.470589,0
342.644,-2.34375,14.0625,716.5,10,1.005829,16.470589,0
342.801,-3.125,14.0625,721,9.5,0.9998815,16.470589,0
342.986,-2.34375,14.0625,717,10,1.0000035,16.078432,0
343.122,-2.34375,14.0625,722.75,8,0.9984175,16.470589,0
343.264,-3.125,14.0625,712.25,10.5,1.000705,16.078432,0
343.409,-3.125,14.0625,714.25,10.5,0.9986615,15.686275,0
343.571,-3.125,14.0625,712,12,0.995825,15.686275,0
343.824,-3.125,14.0625,716.75,12,0.9990885,15.686275,0
343.993,-2.34375,14.0625,705.5,11,1.002108,15.686275,0
344.132,-2.34375,14.0625,705,13.5,1.001315,15.686275,0
344.269,-2.34375,14.0625,711.25,13.5,1.0031145,15.686275,0
344.412,-2.34375,14.0625,712.5,11.5,1.0009795,16.078432,0
344.580,-3.125,14.0625,708.5,11,0.999424,16.078432,0
344.724,-3.125,14.0625,704.25,12.5,1.0012234,15.686275,0
344.828,-3.125,14.0625,711.5,11.5,0.9989665,16.078432,0
345.043,-3.125,14.0625,706.25,11.5,1.0018336,16.078432,0
345.202,-2.34375,14.0625,705.75,12,1.0001864,16.078432,0
345.401,-2.34375,14.0625,705.75,12.5,1.003145,16.078432,0
345.521,-3.125,14.0625,718,10,1.0015285,16.078432,0
345.687,-3.125,14.0625,717.5,9,0.999851,16.078432,0
345.839,-2.34375,14.0625,710.75,11,1.0019555,16.078432,0
345.981,-2.34375,14.0625,711.5,11,0.99796,16.078432,0
346.123,-3.125,14.0625,714.5,11,0.9968925,16.078432,0
346.296,-3.125,14.0625,714.5,11,0.9968925,16.078432,0
346.413,-3.125,14.0625,709.5,10,0.994605,16.078432,0
346.577,-3.125,14.0625,702.75,12,0.9953065,16.078432,0
346.691,-3.125,14.0625,713.25,12.5,0.9949405,16.078432,0
346.855,-3.125,14.0625,712.5,11.5,0.9986005,16.078432,0
347.059,-2.34375,14.0625,715.5,10.5,0.9967095,16.078432,0
347.263,-2.34375,14.0625,712.25,10,0.998936,16.078432,0
347.464,-2.34375,14.0625,712.25,11.5,0.9993325,16.078432,0
347.664,-3.125,14.0625,718.5,10.5,0.999241,16.078432,0
347.859,-3.125,14.0625,714.25,10.5,0.998326,16.078432,0
348.099,-3.125,14.0625,708,11.5,0.9994545,16.078432,0
348.261,-2.34375,14.0625,704.25,11,0.9989665,16.078432,0
348.413,-3.125,14.0625,708.25,12,1.000949,16.078432,0
348.532,-2.34375,14.0625,713.5,11.5,0.9998815,16.078432,0
348.703,-3.125,14.0625,707.5,11,0.998631,16.078432,0
348.910,-2.34375,14.0625,709.25,13,0.999302,15.686275,0
349.139,-2.34375,14.0625,710.5,11.5,1.002962,15.686275,0
349.292,-2.34375,14.0625,700.75,14.5,1.0003695,15.686275,0
349.404,-2.34375,14.0625,711,12.5,1.0014066,15.686275,0
349.609,-2.34375,14.0625,715.5,12,1.0045785,16.078432,0
349.745,-2.34375,14.0625,715.5,12,1.0045785,16.078432,0
349.904,-2.34375,14.0625,709,11,1.003816,16.078432,0
350.153,-2.34375,14.0625,713,11.5,1.0020775,16.078432,0
350.361,-2.34375,14.0625,719.5,11.5,1.001132,16.078432,0
350.846,-3.125,14.0625,719.25,10,0.9974415,16.078432,0
351.041,-2.34375,14.0625,718.75,10.5,0.998265,16.078432,0
351.155,-2.34375,14.0625,719.25,11,0.9971365,15.686275,0
351.334,-2.34375,14.0625,720.5,10.5,0.9965265,15.686275,0
351.495,-3.125,14.0625,714.75,11,0.9972585,15.686275,0
351.664,-2.34375,14.0625,711.25,11.5,0.9969535,15.686275,0
351.793,-2.34375,14.0625,711.25,11.5,0.9969535,15.686275,0
351.990,-3.125,14.0625,716.75,12,0.9986615,15.686275,0
352.104,-2.34375,14.0625,708.25,11.5,0.9994545,15.686275,0
352.265,-3.125,14.0625,704.75,14,0.997716,15.686275,0
352.414,-2.34375,14.0625,703.75,13.5,0.999729,15.686275,0
352.564,-2.34375,14.0625,705.25,13.5,0.9966485,15.686275,0
352.820,-2.34375,14.0625,707.5,13.5,1.0012845,15.686275,0
352.948,-3.125,14.0625,705,13,0.997777,15.686275,0
353.160,-3.125,14.0625,706.25,12,0.998204,15.686275,0
353.487,-2.34375,14.0625,710.75,12,0.998326,15.686275,0
353.606,-2.34375,14.0625,710.75,12,0.998326,15.686275,0
353.766,-2.34375,14.0625,711.75,12.5,0.998448,15.686275,0
353.884,-2.34375,14.0625,712.75,11.5,0.998021,15.686275,0
354.061,-2.34375,14.0625,708,11.5,0.998875,15.686275,0
354.358,-3.125,14.0625,707.25,12,0.9981125,15.686275,0
354.517,-2.34375,14.0625,705.75,13,0.998082,15.686275,0
354.705,-2.34375,14.0625,711.25,12.5,1.000583,15.686275,0
354.910,-2.34375,14.0625,715.5,11.5,0.998997,15.686275,0
355.016,-3.125,14.0625,713,11.5,0.9992105,15.686275,0
355.235,-3.125,14.0625,708,11.5,0.997716,15.686275,0
355.382,-3.125,14.0625,708,11.5,0.997716,15.686275,0
355.563,-3.125,14.0625,714,13,0.9973805,15.686275,0
355.886,-3.125,14.0625,710.75,12,0.99674,15.686275,0
356.133,-3.125,14.0625,709.25,12,0.99674,15.686275,0
356.374,-2.34375,14.0625,706.25,12.5,0.996801,15.686275,0
356.677,-3.125,14.0625,712,12,0.9962215,15.686275,0
356.906,-2.34375,14.0625,706,13,0.9990275,15.686275,0
357.161,-2.34375,14.0625,712,11.5,0.998753,15.686275,0
357.464,-2.34375,14.0625,712,11.5,0.998753,15.686275,0
357.685,-2.34375,14.0625,713,11,0.9981735,15.686275,0
357.962,-2.34375,14.0625,711.25,10.5,0.998692,16.078432,0
358.243,-2.34375,14.0625,705.75,10.5,0.998204,15.686275,0
358.459,-2.34375,14.0625,705.25,12.5,0.998204,15.686275,0
358.719,-2.34375,14.0625,705.25,12.5,0.9998205,15.686275,0
359.037,7.03125,4.6875,732.75,27,0.999668,16.862745,0
359.366,7.03125,4.6875,732.75,27,0.999668,16.862745,0
359.717,6.25,4.6875,1007.75,18,1.003389,25.490196,0
360.020,0,4.6875,1073,18,0.967216,21.17647,0
360.401,3.125,4.6875,1116.5,36,0.9614515,16.078432,0
360.687,4.6875,4.6875,1116.5,36,0.9614515,16.078432,0
360.971,7.03125,4.6875,1173.75,39.5,1.0331875,15.294118,0
361.224,6.25,4.6875,1196.25,37,1.02663,14.509804,0
361.463,5.46875,4.6875,1196.25,37,1.02663,14.509804,0
361.750,6.25,4.6875,1204.25,39,1.0158025,14.117647,0
361.995,6.25,4.6875,1223.5,42,1.0117764,14.509804,0
362.251,6.25,4.6875,1223.5,40,1.010038,14.117647,0
362.497,6.25,4.6875,1231.25,39,1.005219,14.117647,0
362.739,6.25,4.6875,1245.5,35.5,1.002535,14.117647,0
363.028,6.25,4.6875,1245.5,35.5,1.002535,14.117647,0
363.260,6.25,4.6875,1248.75,37.5,1.0033585,13.725491,0
363.546,5.46875,4.6875,1250,35.5,0.994117,14.117647,0
363.855,5.46875,4.6875,1250,35.5,0.994117,14.117647,0
364.266,7.03125,4.6875,1251.25,44,1.0016505,13.725491,0
364.646,6.25,4.6875,1251.25,44,1.0016505,13.725491,0
364.976,6.25,4.6875,1254.5,37.5,0.996862,13.725491,0
365.260,5.46875,4.6875,1254.5,37.5,0.992531,14.117647,0
365.539,5.46875,4.6875,1256.5,39.5,0.992409,13.725491,0
365.841,5.46875,4.6875,1250.5,36.5,0.9923785,13.725491,0
366.077,5.46875,4.6875,1238.75,38,0.9934155,13.725491,0
366.278,-2.34375,14.0625,1165.75,6.5,0.9989665,13.333333,0
366.517,0,14.0625,1007.75,13.5,1.0149485,11.764706,0
366.825,-0.78125,14.0625,827.75,9.5,1.039074,12.156863,0
367.056,-2.34375,14.0625,778,11,1.0072016,12.156863,0
367.345,-4.6875,14.0625,745.5,13.5,0.9901215,12.156863,0
367.646,-6.25,14.0625,725,17.5,0.9701135,12.156863,0
367.885,-6.25,14.0625,725,17.5,0.9701135,12.156863,0
368.189,-7.03125,14.0625,714.5,18,0.958554,12.156863,0
368.420,-7.8125,14.0625,711,17,0.9507765,12.54902,0
368.627,-7.8125,14.0625,720.5,30.5,0.950807,12.941176,0
368.886,-7.8125,14.0625,726.5,21.5,0.9529115,12.941176,0
369.156,-7.8125,14.0625,726.5,21.5,0.9529115,12.941176,0
369.460,-7.8125,14.0625,708.75,34,0.9602315,13.333333,0
370.100,-7.8125,14.0625,702.25,33.5,0.967704,13.333333,0
370.348,-7.8125,14.0625,697,22,0.9793245,13.725491,0
370.605,-7.8125,14.0625,700.75,23.5,0.9867055,14.509804,0
370.905,-7.8125,14.0625,700.75,23.5,0.9867055,14.509804,0
371.168,-7.8125,14.0625,698.5,18.5,0.9981735,15.294118,0
371.416,-7.03125,14.0625,703,16.5,1.0082386,15.294118,0
371.716,-6.25,14.0625,702,17,1.013881,15.686275,0
371.958,-5.46875,14.0625,711.5,13.5,1.0209875,16.078432,0
372.225,-6.25,14.0625,711.5,13.5,1.0209875,16.078432,0
372.466,-4.6875,14.0625,712,12,1.0280025,16.078432,0
372.763,-4.6875,14.0625,719.75,10,1.027362,16.470589,0
373.028,-4.6875,14.0625,718.25,9,1.023519,16.470589,0
373.290,-4.6875,14.0625,718.25,9,1.023519,16.470589,0
373.581,-4.6875,14.0625,719.5,9.5,1.023763,16.470589,0
373.813,-4.6875,14.0625,717.5,9.5,1.021079,16.470589,0
374.018,-3.90625,14.0625,705.25,9.5,1.016504,16.470589,0
374.295,-3.90625,14.0625,709.75,10,1.0173275,16.470589,0
374.596,-3.90625,14.0625,722.25,9.5,1.019005,16.470589,0
374.916,-2.34375,14.0625,719.25,9.5,1.0194016,16.470589,0
375.135,-3.125,14.0625,719.25,9.5,1.0194016,16.470589,0
375.454,-3.125,14.0625,720.75,8,1.019005,16.470589,0
375.756,-2.34375,14.0625,708.25,11.5,1.014613,15.686275,0
376.036,-2.34375,14.0625,709.25,11.5,1.014613,15.686275,0
376.294,-2.34375,14.0625,706.25,11.5,1.0084215,15.686275,0
376.542,-2.34375,14.0625,708,12,1.0034806,15.686275,0
376.865,-2.34375,14.0625,708,12,1.0034806,15.686275,0
377.138,-2.34375,14.0625,710.75,12.5,1.00589,15.686275,0
377.546,-1.5625,14.0625,711.75,11,1.0097635,15.686275,0
377.805,-1.5625,14.0625,709.25,12,1.0123255,15.686275,0
378.122,-1.5625,14.0625,709.25,12,1.0123255,15.686275,0
378.411,-2.34375,14.0625,713.5,11.5,1.009611,15.686275,0
378.706,-2.34375,14.0625,713.5,11.5,1.0027485,15.686275,0
379.407,-1.5625,14.0625,708.75,10.5,0.999668,16.078432,0
379.703,-2.34375,14.0625,708,12,0.998692,15.686275,0
379.933,-2.34375,14.0625,710,12,0.9989055,16.078432,0
380.215,-2.34375,14.0625,711.5,11.5,0.9992715,16.078432,0
380.519,-1.5625,14.0625,714.25,11.5,1.0015895,16.078432,0
380.859,-1.5625,14.0625,706.5,10.5,1.0013455,16.078432,0
381.117,-1.5625,14.0625,708.25,10.5,0.9991495,16.078432,0
381.381,-1.5625,14.0625,708.25,10.5,0.9991495,16.078432,0
381.690,-1.5625,14.0625,714.75,10,1.001193,16.078432,0
382.021,-1.5625,14.0625,710.5,10.5,1.00223,16.078432,0
382.297,-1.5625,14.0625,712.5,11,1.0007966,15.686275,0
382.577,-2.34375,14.0625,704.5,13,0.9994545,15.686275,0
382.837,-1.5625,14.0625,710.25,12,0.997533,15.686275,0
383.068,-2.34375,14.0625,709.75,11,0.9975635,15.686275,0
383.301,-1.5625,14.0625,709.75,11,0.9975635,15.686275,0
383.802,-2.34375,14.0625,714.75,11,0.9984785,15.686275,0
384.737,-1.5625,14.0625,704,12,0.9952455,15.686275,0
385.149,-2.34375,14.0625,710,10.5,0.997655,16.078432,0
385.448,-1.5625,14.0625,710,10.5,1.000522,16.078432,0
385.811,-1.5625,14.0625,714.5,11,1.0031755,16.078432,0
386.121,-2.34375,14.0625,710.75,11,0.9979905,15.686275,0
386.503,-2.34375,14.0625,710.75,11,0.9979905,15.686275,0
386.786,-1.5625,14.0625,706.5,10.5,0.9973805,15.686275,0
387.061,-2.34375,14.0625,711,12,0.9970145,15.686275,0
387.334,-1.5625,14.0625,714.75,12.5,0.998814,15.686275,0
387.638,-1.5625,14.0625,714.75,12.5,0.998814,15.686275,0
387.856,-1.5625,14.0625,711,10.5,0.9986615,16.078432,0
388.107,-1.5625,14.0625,714.25,11.5,0.9998205,16.078432,0
388.476,-1.5625,14.0625,710.5,11.5,0.9998205,16.078432,0
388.742,-2.34375,14.0625,702.5,11.5,1.0020775,15.686275,0
389.025,-1.5625,14.0625,702.5,12.5,0.997472,15.686275,0
389.268,-1.5625,14.0625,714.25,10,0.99735,15.686275,0
389.533,-2.34375,14.0625,710.75,11,0.997228,15.686275,0
389.733,-2.34375,14.0625,715.25,11,0.9970145,15.686275,0
389.967,-2.34375,14.0625,711.5,11.5,0.996313,15.686275,0
390.184,-1.5625,14.0625,708.75,12,0.9985395,15.686275,0
390.505,-2.34375,14.0625,711.25,11,0.9981735,15.686275,0
390.791,-2.34375,14.0625,710,12,0.9962825,15.686275,0
391.015,-2.34375,14.0625,710,12,0.9962825,15.686275,0
391.289,-1.5625,14.0625,714,10.5,0.999058,16.078432,0
391.538,-2.34375,14.0625,713,11,1.0004305,16.078432,0
391.802,-2.34375,14.0625,712.25,11,1.001071,15.686275,0
392.038,-1.5625,14.0625,712.25,11,1.001071,15.686275,0
392.299,-2.34375,14.0625,709.75,13,1.002352,15.686275,0
392.578,-2.34375,14.0625,713.5,11.5,1.004487,15.686275,0
392.822,-2.34375,14.0625,708,11.5,0.99979,15.686275,0
393.368,-1.5625,14.0625,706.25,13,0.997899,15.686275,0
393.658,-2.34375,14.0625,706.25,13,0.997899,15.686275,0
393.940,-1.5625,14.0625,712.5,10.5,0.99796,15.686275,0
394.192,-2.34375,14.0625,709.5,11.5,0.9963435,15.686275,0
394.456,-2.34375,14.0625,712.75,10.5,0.99918,16.078432,0
394.781,-2.34375,14.0625,708.25,11.5,0.998814,15.686275,0
395.061,-2.34375,14.0625,712.25,11.5,0.9999425,15.686275,0
395.281,-1.5625,14.0625,712.25,11.5,0.9999425,15.686275,0
395.528,-1.5625,14.0625,716,10.5,1.004548,15.686275,0
395.827,-1.5625,14.0625,712.25,12.5,1.0004305,15.686275,0
396.089,-2.34375,14.0625,712.25,12.5,1.0004305,15.686275,0
396.373,-2.34375,14.0625,705.75,12,0.9984785,15.686275,0
396.617,-1.5625,14.0625,705.75,12,0.9984785,15.686275,0
396.849,-1.5625,14.0625,709,12,1.0039074,16.078432,0
397.124,-1.5625,14.0625,713,10.5,1.00406,16.078432,0
397.353,-1.5625,14.0625,714.25,11.5,1.0019555,16.078432,0
397.644,-1.5625,14.0625,715.5,10,1.0010405,16.078432,0
397.865,-1.5625,14.0625,715.5,10,1.0010405,16.078432,0
398.113,-1.5625,14.0625,718.75,9.5,1.002047,16.078432,0
398.309,-2.34375,14.0625,714.5,11.5,0.9977465,15.686275,0
398.597,-2.34375,14.0625,721.75,11.5,0.9981125,15.686275,0
398.854,-2.34375,14.0625,721.75,11.5,0.9981125,15.686275,0
399.153,-1.5625,14.0625,709.5,12.5,0.996191,15.686275,0
399.396,-2.34375,14.0625,710,12.5,1.0001255,15.294118,0
399.981,-1.5625,14.0625,710,13,0.9964655,15.294118,0
400.294,-1.5625,14.0625,714.5,11.5,0.9984785,15.686275,0
400.520,-2.34375,14.0625,714.5,11.5,0.9984785,15.686275,0
400.634,-2.34375,14.0625,702.25,12.5,1.0004305,15.686275,0
400.803,-2.34375,14.0625,712.25,12.5,0.9993935,15.686275,0
400.904,-2.34375,14.0625,709.75,12,1.000278,15.686275,0
401.028,-2.34375,14.0625,716.5,11,1.0000645,15.686275,0
401.149,-2.34375,14.0625,713,11,0.9993325,15.686275,0
401.247,-2.34375,14.0625,705.25,11,0.998448,15.686275,0
401.433,-1.5625,14.0625,707,12.5,1.0009185,15.686275,0
401.552,-1.5625,14.0625,709.5,12,0.9992105,15.686275,0
401.701,-1.5625,14.0625,709.75,12,0.999302,15.686275,0
401.828,-2.34375,14.0625,707.5,12,0.9970145,15.686275,0
401.934,-2.34375,14.0625,707.5,12,0.9970145,15.686275,0
402.119,-2.34375,14.0625,710,12,0.998509,15.686275,0
402.248,-1.5625,14.0625,709.5,12.5,0.996801,15.686275,0
402.438,-1.5625,14.0625,709.25,12.5,0.9972585,15.686275,0
402.549,-2.34375,14.0625,711.25,11,0.9961605,15.686275,0
402.738,-2.34375,14.0625,710,11,0.9964655,15.686275,0
402.853,-2.34375,14.0625,712.25,12.5,0.999302,15.686275,0
403.003,-2.34375,14.0625,715.75,11,0.9981735,15.686275,0
403.159,-2.34375,14.0625,713.75,11,0.9959165,15.686275,0
403.391,-1.5625,14.0625,709,10.5,0.99918,15.686275,0
403.569,-1.5625,14.0625,709,10.5,0.99918,15.686275,0
403.690,-2.34375,14.0625,708.75,12.5,0.999119,15.686275,0
403.870,-2.34375,14.0625,706,12.5,0.998448,15.686275,0
403.978,-2.34375,14.0625,711.5,13,1.001498,15.686275,0
404.157,-1.5625,14.0625,705.25,11.5,0.9987225,15.686275,0
404.291,-1.5625,14.0625,713,12,0.99979,15.686275,0
404.507,-1.5625,14.0625,711.25,12,1.0021385,15.686275,0
404.707,-1.5625,14.0625,712.25,11.5,1.002901,15.686275,0
404.809,-1.5625,14.0625,707.25,11.5,1.0028095,15.686275,0
404.944,-1.5625,14.0625,713.75,12,0.999668,15.686275,0
405.145,-1.5625,14.0625,711.25,12,0.9998205,15.686275,0
405.344,-1.5625,14.0625,707.25,11.5,1.00162,15.686275,0
405.522,-1.5625,14.0625,715.75,10.5,1.0003085,15.686275,0
405.648,-1.5625,14.0625,708.25,12,0.9978685,15.686275,0
405.790,-2.34375,14.0625,709.75,11,0.99735,15.686275,0
405.944,-2.34375,14.0625,709.25,11,0.9971365,15.686275,0
406.048,-2.34375,14.0625,709.25,11.5,0.9973195,15.686275,0
406.210,-2.34375,14.0625,713,11.5,0.994849,15.686275,0
406.318,-2.34375,14.0625,705.25,11.5,0.997411,15.686275,0
406.563,-2.34375,14.0625,705.75,11.5,0.9979295,15.686275,0
406.678,-2.34375,14.0625,705.75,11.5,0.9979295,15.686275,0
406.818,-1.5625,14.0625,712.5,11,0.9993325,15.686275,0
406.964,-2.34375,14.0625,712.75,11,0.997472,15.686275,0
407.150,-2.34375,14.0625,707.5,10.5,1.0003085,15.686275,0
407.320,-1.5625,14.0625,710.5,12,0.999119,15.686275,0
407.566,-1.5625,14.0625,711.5,11,0.9990275,15.686275,0
407.797,-2.34375,14.0625,715.75,10.5,1.0033585,15.686275,0
407.913,-1.5625,14.0625,709.25,10.5,0.9993935,15.686275,0
408.103,-2.34375,14.0625,715.75,11.5,1.0014066,15.686275,0
408.386,-1.5625,14.0625,713.25,10,1.0005525,15.686275,0
408.528,-1.5625,14.0625,713.25,10,1.0005525,15.686275,0
408.664,-2.34375,14.0625,709.75,11,0.998875,15.686275,0
408.800,-1.5625,14.0625,710,12,0.9975635,15.686275,0
408.936,-1.5625,14.0625,713.5,12,0.9979905,15.686275,0
409.159,-2.34375,14.0625,710.5,12,0.99674,15.686275,0
409.332,-2.34375,14.0625,709.75,12.5,0.9973805,15.686275,0
409.470,-1.5625,14.0625,713.5,12.5,0.997594,15.686275,0
409.639,-1.5625,14.0625,708,12.5,0.999607,15.686275,0
409.768,-2.34375,14.0625,711.25,12,1.0012845,15.686275,0
409.949,-2.34375,14.0625,719.5,11,0.9973805,15.686275,0
410.104,-2.34375,14.0625,719.5,11,0.9973805,15.686275,0
410.321,-2.34375,14.0625,707.25,10.5,0.9987835,15.686275,0
410.444,-1.5625,14.0625,702.5,13.5,0.9994545,15.294118,0
410.631,-1.5625,14.0625,705.25,13.5,0.999363,15.294118,0
410.728,-2.34375,14.0625,708.75,13,0.999363,15.294118,0
410.931,-2.34375,14.0625,704,13,0.9983565,15.294118,0
411.057,-2.34375,14.0625,709.25,13.5,0.9956115,15.294118,0
411.205,-2.34375,14.0625,710.75,12.5,0.997594,15.294118,0
411.378,-1.5625,14.0625,701.5,14.5,0.9972585,15.294118,0
411.592,-2.34375,14.0625,707.25,13,0.999058,15.294118,0
411.763,-2.34375,14.0625,707.25,13,0.999058,15.294118,0
411.905,-2.34375,14.0625,715.75,12,0.9982955,15.294118,0
412.111,-2.34375,14.0625,712.75,11.5,0.997838,15.686275,0
412.324,-1.5625,14.0625,712.75,12,0.995947,15.294118,0
412.527,-2.34375,14.0625,713,12,0.9986615,15.686275,0
412.660,-2.34375,14.0625,715.5,12.5,0.9996985,15.686275,0
412.791,-2.34375,14.0625,711.75,11,0.997472,15.686275,0
412.957,-2.34375,14.0625,706,13,0.9973805,15.294118,0
413.065,-2.34375,14.0625,712,12,0.9970145,15.294118,0
413.235,-2.34375,14.0625,709.5,12,0.9964045,15.686275,0
413.342,-2.34375,14.0625,709.5,12,0.9964045,15.686275,0
413.525,-2.34375,14.0625,705,12,0.997655,15.686275,0
413.640,-2.34375,14.0625,708.5,12.5,0.997228,15.686275,0
413.757,-2.34375,14.0625,707,12.5,1.000949,15.686275,0
413.905,-2.34375,14.0625,709.75,11.5,0.999302,15.686275,0
414.009,-1.5625,14.0625,710.75,13,0.9993935,15.686275,0
414.206,-2.34375,14.0625,714,13,1.001681,15.686275,0
414.309,-2.34375,14.0625,711,12.5,0.9995155,15.686275,0
